venue_chain_id,venue_id,date,"(-inf, 30.0]","(30.0, 60.0]","(60.0, 90.0]","(90.0, 180.0]","(180.0, 365.0]","(365.0, inf]"
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-01-31,0,39,65,125,115,44
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-02-28,0,49,65,96,95,53
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-03-31,0,49,68,139,102,53
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-04-30,0,42,78,142,133,53
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-05-31,0,43,58,135,130,52
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-06-30,0,41,66,118,107,57
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-07-31,0,50,68,105,125,56
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-08-31,0,45,67,122,108,52
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-09-30,0,39,69,130,124,73
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-10-31,0,35,49,90,98,55
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-11-30,0,38,67,100,80,69
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-12-31,0,51,66,128,128,59
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2024-01-31,0,28,57,85,78,58
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2024-02-29,0,34,62,106,108,68
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2024-03-31,0,54,67,120,93,77
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2024-04-30,0,36,53,73,88,60
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2021-05-31,22,5,3,5,3,5
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2021-06-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2021-07-31,0,36,12,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2021-08-31,0,59,65,3,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2021-09-30,0,50,73,42,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2021-10-31,0,34,53,73,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2021-11-30,0,28,35,91,2,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2021-12-31,0,30,36,62,21,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-01-31,0,32,49,79,26,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-02-28,0,18,40,75,45,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-03-31,0,36,37,67,76,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-04-30,0,29,36,83,62,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-05-31,0,20,44,57,69,1
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-06-30,0,17,37,77,75,4
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-07-31,0,30,37,73,47,11
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-08-31,0,26,30,54,48,24
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-09-30,0,22,33,76,54,17
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-10-31,0,24,47,68,51,24
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-11-30,0,27,41,52,53,15
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-12-31,0,27,34,55,44,27
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-01-31,0,21,31,71,46,16
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-02-28,0,25,26,43,39,23
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-03-31,0,22,35,90,87,38
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-04-30,0,17,24,48,46,26
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-05-31,0,20,34,63,59,29
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-06-30,0,13,31,49,63,34
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-07-31,0,18,33,54,36,32
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-08-31,0,17,24,65,38,36
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-09-30,0,24,31,49,52,48
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-10-31,0,16,41,48,47,36
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-11-30,0,18,42,49,43,46
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-12-31,0,29,30,54,59,43
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2024-01-31,0,20,29,62,68,31
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2024-02-29,0,21,30,55,39,39
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2024-03-31,0,32,29,49,51,47
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2024-04-30,0,23,26,43,38,35
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2021-05-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2021-06-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2021-07-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2021-08-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2021-09-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2021-10-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2021-11-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2021-12-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-01-31,0,0,0,0,0,0
